league,combo,n_train,n_test,n_features,log_loss,roc_auc,roi_0.54,bets_0.54,roi_0.56,bets_0.56,roi_0.58,bets_0.58,best_roi,best_thr,best_bets
ABA,BASE,161,40,58,0.886,0.584,5.56,36,6.18,34,6.18,34,6.18,0.56,34
ABA,BASE+FATIGUE,161,40,68,0.9425,0.5664,0.28,36,0.28,36,0.28,36,0.28,0.54,36
ABA,BASE+FATIGUE+TEAM_ADV,161,40,88,1.1565,0.5564,2.31,39,2.31,39,-0.0,38,2.31,0.54,39
ABA,BASE+TEAM_ADV,161,40,78,1.1212,0.5363,-2.56,39,-2.56,39,-2.56,39,-2.56,0.54,39
ACB,BASE,227,56,58,1.0415,0.576,-12.31,52,-12.6,50,-12.6,50,-12.31,0.54,52
ACB,BASE+FATIGUE,227,56,68,1.1059,0.5326,-12.04,54,-12.6,50,-12.6,50,-12.04,0.54,54
ACB,BASE+FATIGUE+TEAM_ADV,227,56,88,0.9672,0.5888,-6.79,53,-6.79,53,-6.86,51,-6.79,0.54,53
ACB,BASE+TEAM_ADV,227,56,78,1.0605,0.5453,-6.79,53,-6.86,51,-6.86,51,-6.79,0.54,53
BBL,BASE,252,63,58,1.1177,0.5252,4.5,60,4.5,60,5.18,56,5.18,0.58,56
BBL,BASE+FATIGUE,252,63,68,1.0594,0.5423,1.55,58,1.55,58,5.56,54,5.56,0.58,54
BBL,BASE+FATIGUE+TEAM_ADV,252,63,88,1.1498,0.498,-6.56,61,-6.56,61,-5.0,58,-5.0,0.58,58
BBL,BASE+TEAM_ADV,252,63,78,1.195,0.504,-5.0,58,-1.61,56,-1.61,56,-1.61,0.56,56
BLeague,BASE,608,152,58,0.8305,0.583,14.28,138,15.71,133,14.0,130,15.71,0.56,133
BLeague,BASE+FATIGUE,608,152,68,0.8532,0.5802,9.35,139,6.52,132,7.52,129,9.35,0.54,139
BLeague,BASE+FATIGUE+TEAM_ADV,608,152,88,0.8532,0.5802,9.35,139,6.52,132,7.52,129,9.35,0.54,139
BLeague,BASE+TEAM_ADV,608,152,78,0.8305,0.583,14.28,138,15.71,133,14.0,130,15.71,0.56,133
CBA,BASE,356,89,58,1.0932,0.4675,-10.59,85,-13.01,83,-12.31,78,-10.59,0.54,85
