league,combo,n_train,n_test,n_features,log_loss,roc_auc,roi_0.54,bets_0.54,roi_0.56,bets_0.56,roi_0.58,bets_0.58,best_roi,best_thr,best_bets
ABA,BASE,161,40,58,0.8937,0.584,-2.29,35,-2.29,35,-2.29,35,-2.29,0.54,35
ABA,BASE+FATIGUE,161,40,68,0.8706,0.6015,7.18,39,5.0,38,5.56,36,7.18,0.54,39
ABA,BASE+FATIGUE+TEAM_ADV,161,40,88,0.8706,0.6015,7.18,39,5.0,38,5.56,36,7.18,0.54,39
ABA,BASE+TEAM_ADV,161,40,78,0.8937,0.584,-2.29,35,-2.29,35,-2.29,35,-2.29,0.54,35
ACB,BASE,227,56,58,1.0381,0.5568,-8.52,54,-8.65,52,-12.6,50,-8.52,0.54,54
ACB,BASE+FATIGUE,227,56,68,1.0492,0.5581,-8.52,54,-6.86,51,-6.86,51,-6.86,0.56,51
ACB,BASE+FATIGUE+TEAM_ADV,227,56,88,0.9971,0.6066,-8.52,54,-3.14,51,-1.2,50,-1.2,0.58,50
ACB,BASE+TEAM_ADV,227,56,78,1.0547,0.5709,-3.21,53,-3.21,53,-3.14,51,-3.14,0.58,51
BBL,BASE,252,63,58,1.1219,0.498,-6.61,59,-3.33,57,-5.0,56,-3.33,0.56,57
BBL,BASE+FATIGUE,252,63,68,1.1808,0.502,6.27,59,6.27,59,3.96,53,6.27,0.54,59
BBL,BASE+FATIGUE+TEAM_ADV,252,63,88,1.161,0.4849,-5.0,58,-5.0,56,-1.48,54,-1.48,0.58,54
BBL,BASE+TEAM_ADV,252,63,78,1.1361,0.498,-1.72,58,-1.48,54,0.38,53,0.38,0.58,53
BLeague,BASE,608,152,58,0.8107,0.5944,7.04,142,8.37,135,11.08,130,11.08,0.58,130
BLeague,BASE+FATIGUE,608,152,68,0.796,0.5953,12.59,135,14.88,129,16.8,122,16.8,0.58,122
BLeague,BASE+FATIGUE+TEAM_ADV,608,152,88,0.796,0.5953,12.59,135,14.88,129,16.8,122,16.8,0.58,122
BLeague,BASE+TEAM_ADV,608,152,78,0.8107,0.5944,7.04,142,8.37,135,11.08,130,11.08,0.58,130
CBA,BASE,356,89,58,1.0651,0.4796,-6.12,85,-6.14,83,-6.2,79,-6.12,0.54,85
CBA,BASE+FATIGUE,356,89,68,1.0918,0.4686,-7.16,88,-6.12,85,-9.75,80,-6.12,0.56,85
CBA,BASE+FATIGUE+TEAM_ADV,356,89,88,1.0918,0.4686,-7.16,88,-6.12,85,-9.75,80,-6.12,0.56,85
CBA,BASE+TEAM_ADV,356,89,78,1.0651,0.4796,-6.12,85,-6.14,83,-6.2,79,-6.12,0.54,85
EuroLeague,BASE,321,80,58,1.101,0.4714,-2.56,78,-6.27,75,-8.9,73,-2.56,0.54,78
EuroLeague,BASE+FATIGUE,321,80,68,1.1527,0.4544,-13.87,75,-12.92,72,-12.92,72,-12.92,0.56,72
EuroLeague,BASE+FATIGUE+TEAM_ADV,321,80,88,0.9717,0.5248,-2.5,76,-1.1,73,0.43,70,0.43,0.58,70
EuroLeague,BASE+TEAM_ADV,321,80,78,1.0734,0.4959,-6.27,75,-6.27,75,-5.0,72,-5.0,0.58,72
Israel,BASE,142,35,58,1.0932,0.58,17.35,34,17.35,34,15.15,33,17.35,0.54,34
Israel,BASE+FATIGUE,142,35,68,1.0899,0.544,17.35,34,12.81,32,10.32,31,17.35,0.54,34
Israel,BASE+FATIGUE+TEAM_ADV,142,35,88,1.0899,0.544,17.35,34,12.81,32,10.32,31,17.35,0.54,34
Israel,BASE+TEAM_ADV,142,35,78,1.0932,0.58,17.35,34,17.35,34,15.15,33,17.35,0.54,34
LNB,BASE,192,47,58,1.2079,0.4891,5.11,47,4.05,42,2.31,39,5.11,0.54,47
