league,combo,n_train,n_test,n_features,log_loss,roc_auc,synthetic_line,roi_0.54,bets_0.54,roi_0.56,bets_0.56,roi_0.58,bets_0.58,best_roi,best_thr,best_bets
ABA,BASE,196,49,58,1.0155,0.6183,84.5,1.33,45,-0.68,44,1.63,43,1.63,0.58,43
ABA,BASE+FATIGUE,196,49,68,1.023,0.6165,84.5,3.26,46,3.64,44,4.5,40,4.5,0.58,40
ABA,BASE+FATIGUE+TEAM_ADV,196,49,88,0.9649,0.6165,84.5,1.33,45,-0.68,44,1.63,43,1.63,0.58,43
ABA,BASE+TEAM_ADV,196,49,78,0.8943,0.6667,84.5,9.15,47,9.15,47,9.78,45,9.78,0.58,45
ACB,BASE,227,56,58,1.0457,0.5665,85.0,10.0,51,10.61,49,9.57,46,10.61,0.56,49
ACB,BASE+FATIGUE,227,56,68,0.9959,0.5755,85.0,7.88,52,7.88,52,5.0,48,7.88,0.54,52
ACB,BASE+FATIGUE+TEAM_ADV,227,56,88,1.0128,0.569,85.0,5.85,53,7.88,52,10.61,49,10.61,0.58,49
ACB,BASE+TEAM_ADV,227,56,78,1.0531,0.5677,85.0,5.85,53,5.85,53,6.27,51,6.27,0.58,51
BBL,BASE,252,63,58,0.868,0.6179,83.5,11.38,58,16.11,54,13.27,52,16.11,0.56,54
BBL,BASE+FATIGUE,252,63,68,0.8358,0.631,83.5,12.13,61,14.0,60,15.36,56,15.36,0.58,56
BBL,BASE+FATIGUE+TEAM_ADV,252,63,88,0.8668,0.6431,83.5,23.5,60,18.75,56,19.63,54,23.5,0.54,60
BBL,BASE+TEAM_ADV,252,63,78,0.8631,0.619,83.5,6.27,59,6.67,57,8.57,56,8.57,0.58,56
BLeague,BASE,616,153,58,0.7678,0.6704,83.0,16.43,143,16.21,140,14.6,137,16.43,0.54,143
BLeague,BASE+FATIGUE,616,153,68,0.7595,0.6701,83.0,15.96,146,16.03,141,16.96,135,16.96,0.58,135
BLeague,BASE+FATIGUE+TEAM_ADV,616,153,88,0.7595,0.6701,83.0,15.96,146,16.03,141,16.96,135,16.96,0.58,135
BLeague,BASE+TEAM_ADV,616,153,78,0.7678,0.6704,83.0,16.43,143,16.21,140,14.6,137,16.43,0.54,143
CBA,BASE,356,89,58,0.969,0.6535,92.0,12.94,85,12.94,85,15.66,83,15.66,0.58,83
