league,combo,n_train,n_test,n_features,log_loss,roc_auc,synthetic_line,roi_0.54,bets_0.54,roi_0.56,bets_0.56,roi_0.58,bets_0.58,best_roi,best_thr,best_bets
ABA,BASE,196,49,58,0.8867,0.5952,43.0,7.66,47,7.66,47,4.0,45,7.66,0.54,47
ABA,BASE+FATIGUE,196,49,68,0.8198,0.6224,43.0,17.29,48,19.79,47,18.26,46,19.79,0.56,47
ABA,BASE+FATIGUE+TEAM_ADV,196,49,88,0.9607,0.5901,43.0,5.53,47,3.7,46,3.7,46,5.53,0.54,47
ABA,BASE+TEAM_ADV,196,49,78,0.8897,0.6429,43.0,7.83,46,10.22,45,10.93,43,10.93,0.58,43
ACB,BASE,227,56,58,1.2403,0.4943,42.0,-1.18,51,-4.9,49,-2.92,48,-1.18,0.54,51
ACB,BASE+FATIGUE,227,56,68,1.2619,0.5262,42.0,-8.36,55,-6.67,54,-3.08,52,-3.08,0.58,52
ACB,BASE+FATIGUE+TEAM_ADV,227,56,88,1.0601,0.5568,42.0,11.54,52,12.2,50,8.96,48,12.2,0.56,50
ACB,BASE+TEAM_ADV,227,56,78,1.1887,0.5223,42.0,-4.9,51,-2.92,48,-0.85,47,-0.85,0.58,47
BBL,BASE,252,63,58,0.8344,0.6109,42.0,12.88,59,11.55,58,10.73,55,12.88,0.54,59
BBL,BASE+FATIGUE,252,63,68,0.8483,0.6159,42.0,19.68,62,19.32,59,18.1,58,19.68,0.54,62
BBL,BASE+FATIGUE+TEAM_ADV,252,63,88,0.8587,0.6008,42.0,17.33,60,16.1,59,18.1,58,18.1,0.58,58
BBL,BASE+TEAM_ADV,252,63,78,0.8356,0.626,42.0,22.32,56,24.55,55,22.08,53,24.55,0.56,55
BLeague,BASE,616,153,58,0.7977,0.6284,42.0,15.92,142,15.99,137,16.18,131,16.18,0.58,131
BLeague,BASE+FATIGUE,616,153,68,0.7792,0.6531,42.0,18.29,140,20.75,134,19.53,129,20.75,0.56,134
BLeague,BASE+FATIGUE+TEAM_ADV,616,153,88,0.7792,0.6531,42.0,18.29,140,20.75,134,19.53,129,20.75,0.56,134
BLeague,BASE+TEAM_ADV,616,153,78,0.7977,0.6284,42.0,15.92,142,15.99,137,16.18,131,16.18,0.58,131
CBA,BASE,356,89,58,0.8882,0.6362,45.0,7.41,85,8.69,84,9.02,82,9.02,0.58,82
CBA,BASE+FATIGUE,356,89,68,0.8929,0.6316,45.0,13.66,82,14.12,80,13.64,77,14.12,0.56,80
CBA,BASE+FATIGUE+TEAM_ADV,356,89,88,0.8929,0.6316,45.0,13.66,82,14.12,80,13.64,77,14.12,0.56,80
CBA,BASE+TEAM_ADV,356,89,78,0.8882,0.6362,45.0,7.41,85,8.69,84,9.02,82,9.02,0.58,82
ChinaNBL,BASE,142,35,58,1.2046,0.4367,47.0,-4.85,33,-4.85,33,-4.85,33,-4.85,0.54,33
ChinaNBL,BASE+FATIGUE,142,35,68,1.2759,0.44,47.0,-7.88,33,-10.94,32,-11.33,30,-7.88,0.54,33
ChinaNBL,BASE+FATIGUE+TEAM_ADV,142,35,88,1.2759,0.44,47.0,-7.88,33,-10.94,32,-11.33,30,-7.88,0.54,33
ChinaNBL,BASE+TEAM_ADV,142,35,78,1.2046,0.4367,47.0,-4.85,33,-4.85,33,-4.85,33,-4.85,0.54,33
EuroLeague,BASE,321,80,58,0.9499,0.5486,43.0,-0.81,74,-2.05,73,-0.44,68,-0.44,0.58,68
EuroLeague,BASE+FATIGUE,321,80,68,0.9786,0.5404,43.0,-4.66,73,-2.0,70,-3.23,65,-2.0,0.56,70
EuroLeague,BASE+FATIGUE+TEAM_ADV,321,80,88,0.9132,0.5745,43.0,4.08,76,7.32,71,8.86,70,8.86,0.58,70
EuroLeague,BASE+TEAM_ADV,321,80,78,0.921,0.5871,43.0,8.72,78,6.89,74,10.43,69,10.43,0.58,69
Israel,BASE,142,35,58,1.2139,0.6389,42.0,-8.06,31,-8.06,31,-5.0,30,-5.0,0.58,30
Israel,BASE+FATIGUE,142,35,68,1.2465,0.6389,42.0,0.59,34,-2.12,33,-5.0,32,0.59,0.54,34
Israel,BASE+FATIGUE+TEAM_ADV,142,35,88,1.1784,0.6574,42.0,-2.29,35,-5.0,34,-5.0,34,-2.29,0.54,35
Israel,BASE+TEAM_ADV,142,35,78,1.0603,0.6759,42.0,-2.29,35,0.59,34,3.64,33,3.64,0.58,33
LNB,BASE,192,47,58,1.0829,0.4819,43.0,-18.14,43,-16.19,42,-14.15,41,-14.15,0.58,41
LNB,BASE+FATIGUE,192,47,68,1.1464,0.4275,43.0,-22.56,43,-18.78,41,-14.62,39,-14.62,0.58,39
LNB,BASE+FATIGUE+TEAM_ADV,192,47,88,1.1348,0.4275,43.0,-4.88,41,-7.44,39,-12.7,37,-4.88,0.54,41
LNB,BASE+TEAM_ADV,192,47,78,1.1246,0.4239,43.0,-7.05,44,-7.32,41,-7.44,39,-7.05,0.54,44
LegaA,BASE,189,47,58,0.8542,0.6204,42.0,12.79,43,16.5,40,19.49,39,19.49,0.58,39
LegaA,BASE+FATIGUE,189,47,68,0.9485,0.5981,42.0,11.28,47,12.79,43,15.48,42,15.48,0.58,42
LegaA,BASE+FATIGUE+TEAM_ADV,189,47,88,0.9494,0.55,42.0,-0.24,41,-0.24,41,-0.24,41,-0.24,0.54,41
LegaA,BASE+TEAM_ADV,189,47,78,0.8221,0.6185,42.0,10.23,44,6.43,42,4.39,41,10.23,0.54,44
NBA,BASE,1047,261,58,0.8225,0.5446,58.0,5.27,239,6.18,228,6.67,210,6.67,0.58,210
NBA,BASE+FATIGUE,1047,261,68,0.8346,0.5348,58.0,1.2,242,1.97,229,3.86,210,3.86,0.58,210
NBA,BASE+FATIGUE+TEAM_ADV,1047,261,88,0.8131,0.5573,58.0,6.83,240,7.85,228,9.31,218,9.31,0.58,218
NBA,BASE+TEAM_ADV,1047,261,78,0.7926,0.5758,58.0,9.21,240,8.33,227,8.31,213,9.21,0.54,240
NBL,BASE,144,35,58,0.7038,0.6515,45.0,35.76,33,35.76,33,34.06,32,35.76,0.54,33
NBL,BASE+FATIGUE,144,35,68,0.6843,0.6629,45.0,36.87,32,36.87,32,31.38,29,36.87,0.54,32
NBL,BASE+FATIGUE+TEAM_ADV,144,35,88,0.6843,0.6629,45.0,36.87,32,36.87,32,31.38,29,36.87,0.54,32
NBL,BASE+TEAM_ADV,144,35,78,0.7038,0.6515,45.0,35.76,33,35.76,33,34.06,32,35.76,0.54,33
VTB,BASE,151,37,58,1.0441,0.535,40.0,6.0,35,3.53,34,3.53,34,6.0,0.54,35
VTB,BASE+FATIGUE,151,37,68,1.0111,0.535,40.0,0.57,35,0.57,35,0.57,35,0.57,0.54,35
VTB,BASE+FATIGUE+TEAM_ADV,151,37,88,1.0111,0.535,40.0,0.57,35,0.57,35,0.57,35,0.57,0.54,35
VTB,BASE+TEAM_ADV,151,37,78,1.0441,0.535,40.0,6.0,35,3.53,34,3.53,34,6.0,0.54,35
